uuid,name,type,primary_role,cb_url,domain,homepage_url,logo_url,facebook_url,twitter_url,linkedin_url,combined_stock_symbols,city,region,country_code,short_description
e1eaac2d-a92b-3362-39f0-c9a7eb1cfc12,Tredegar Investments,organization,investor,https://www.crunchbase.com/organization/tredegar-investments?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tredegar.com,http://www.tredegar.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178965/f7bc7163662a9f1e40a959f4c372d95f.png,,,https://www.linkedin.com/company/tredegar-corporation,nyse:TG,Richmond,Virginia,USA,Tredegar Investments is a company producing plastic films and aluminum extrusions and also invests in internet start-ups.
d219332c-7322-247e-67b2-30a7831d4d47,NetWorth Partners,organization,investor,https://www.crunchbase.com/organization/networth-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,cameronrealestateservices.com,http://www.cameronrealestateservices.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178970/ca38fdc3bf8667151f6360592714ea89.png,https://www.facebook.com/cameronrealestateservices,http://twitter.com/mcameron3,,,San Diego,California,USA,"NetWorth Partners is a group of professionals with varying backgrounds, who recognized long ago that the real estate and mortgage industry"
cab0141c-849d-56e9-8173-56fcd95c5dd1,Stonehenge Capital,organization,investor,https://www.crunchbase.com/organization/stonehenge-capital?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,stonehengecapital.com,http://www.stonehengecapital.com,https://images.crunchbase.com/image/upload/t_cb-default-original/wk6brnn5kv5f5nw8hhf9,,https://twitter.com/stonehengecaptl,https://www.linkedin.com/company/stonehenge-capital/,,Columbus,Ohio,USA,"Stonehenge Capital is a national specialty finance company specializing in private equity, tax credit, and structured finance."
75ae7148-8f20-c78a-7226-383a458e0199,Fortis,organization,investor,https://www.crunchbase.com/organization/fortis?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fortis.com,http://www.fortis.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178987/cd548da1e60e26b3f2667ba56ebba004.gif,https://www.facebook.com/bnpparibasfortisbelgique,https://www.twitter.com/questionbnppf,https://www.linkedin.com/company/fortis-private-banking-limited,,New York,New York,USA,"Fortis Intertrust is a leading provider of financial services at the crossroads of legal, accounting and tax expertise."
eee223d0-8c2e-3195-820c-f9864460c548,European Bank for Reconstruction and Development,organization,investor,https://www.crunchbase.com/organization/european-bank-for-reconstruction-and-development-ebrd?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ebrd.com,https://www.ebrd.com,https://images.crunchbase.com/image/upload/t_cb-default-original/ba4385ddb96d4b8eb10e9d3360703108,http://www.facebook.com/ebrd-hq,http://twitter.com/ebrd,https://www.linkedin.com/company/ebrd,,London,England,GBR,"European Bank for Reconstruction and Development is a financial institution that offers banking solutions, financial instruments and advice."
1a632358-84e9-cc6e-ba94-a9866863da89,Aeris Capital,organization,investor,https://www.crunchbase.com/organization/aeris-capital?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,aeris-capital.com,http://www.aeris-capital.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397179001/4654f12d7a6a4d914ec5c0b9c5028ba5.jpg,,,https://www.linkedin.com/company/aeris-capital-ag/about/,,Pfaffikon,Zurich,CHE,Aeris Capital AG is a private equity fund and financial advisor with locations in the United States and Switzerland.
e66e2167-b9fc-08d4-d3bc-e222202583cb,National Science Foundation,organization,investor,https://www.crunchbase.com/organization/national-science-foundation?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nsf.gov,https://www.nsf.gov,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397179017/fcbae9be2ff6105c3a2f04e4db647eab.jpg,http://www.facebook.com/US.NSF,https://x.com/NSF,https://www.linkedin.com/company/national-science-foundation,,Alexandria,Virginia,USA,National Science Foundation is an independent federal agency that supports research and education in the fields of science and engineering.
b8d4ddc5-9011-0bf5-0908-c5930cfef0f8,ITOCHU Corporation,organization,investor,https://www.crunchbase.com/organization/itochu-corporation?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,itochu.co.jp,http://www.itochu.co.jp,https://images.crunchbase.com/image/upload/t_cb-default-original/screknk4l0tl55s5ddda,http://www.facebook.com/itochu.corp,,https://www.linkedin.com/company/%E4%BC%8A%E8%97%A4%E5%BF%A0%E5%95%86%E4%BA%8B%EF%BC%88%E6%A0%AA%EF%BC%89,tyo:8001,Tokyo,Tokyo,JPN,ITOCHU is a general trading company based in Japan.
1a89a0df-a150-658a-02a6-249d3911bf7f,The Carlyle Group,organization,investor,https://www.crunchbase.com/organization/the-carlyle-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,carlyle.com,http://www.carlyle.com,https://images.crunchbase.com/image/upload/t_cb-default-original/uvlyz3yfsvewpztenx5f,https://www.facebook.com/onecarlyle,http://twitter.com/OneCarlyle,http://www.linkedin.com/company/the-carlyle-group,nasdaq:CG,Washington,District of Columbia,USA,The Carlyle Group is a private equity firm that caters to early and later-stage companies.
02271a74-4602-a847-f068-8d71268e9e2c,BMJP,organization,investor,https://www.crunchbase.com/organization/bmjp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bmjp.org,https://bmjp.org,,,,,,Colorado Springs,Colorado,USA,"BMJP is a financial organization. Nothing is publicly known about the organization. If you have more information, please update this"
3c4ef601-8fbc-cc42-62cf-f95612a361f1,PICO Holdings,organization,investor,https://www.crunchbase.com/organization/pico-holdings?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,picoholdings.com,http://www.picoholdings.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178584/4c7a74ff4255981edcd72c3e57250343.gif,,,https://www.linkedin.com/company/pico-holdings-inc.,nasdaq:PICO,La Jolla,California,USA,"In the course of their business, they acquire water assets, land, and other businesses in strategic areas at downside risk-protected"
f28940a3-3403-e97b-f0bf-e2791ebf35cc,Independent News & Media,organization,investor,https://www.crunchbase.com/organization/independent-news-media?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,inmplc.com,http://www.inmplc.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178611/9507ecd7b9e4ce40f445204486a8f12d.png,https://www.facebook.com/independentnewsandmedia,https://www.twitter.com/inm_ie,https://www.linkedin.com/company/independent-news-&-media-company,lse:INM,Dublin,Dublin,IRL,"Independent News & Media PLC [INM] is a leading international newspaper and communications group, with its main interests in Australia,"
f2441c71-0f0a-9612-03d1-eb77fdf97cb7,Buenos Aires Capital Partners,organization,investor,https://www.crunchbase.com/organization/buenos-aires-capital-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bacp.com.ar,http://www.bacp.com.ar,https://images.crunchbase.com/image/upload/t_cb-default-original/m7t6ivzoruxxoahcp5go,,,https://www.linkedin.com/company/buenos-aires-capital-partners,,Buenos Aires,Distrito Federal,ARG,"Founded in 1991, Buenos Aires Capital Partners S.A. (BACP) provides financial advisory and investment banking services in Latin America"
3da54cb4-9432-3d96-7b76-f9a34eca502e,Square 1 Bank,organization,investor,https://www.crunchbase.com/organization/square-1-bank?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,square1bank.com,https://www.square1bank.com,https://images.crunchbase.com/image/upload/t_cb-default-original/zj2x9ncndcbnrhdcaxnm,http://www.facebook.com/Square1Bank,http://twitter.com/Square1Bank,http://www.linkedin.com/company/square-1-bank,nasdaq:SQBK,Durham,North Carolina,USA,Square 1 Bank is a full-service commercial bank that provides financial services to entrepreneurs and venture capitalists.
